FECHA_CORTE;CODIGO_ALUMNO;FECHA_NACIMIENTO;EDAD;SEXO;TALLER;LOCAL;DIAS;HORARIO;PERIODO;PRECIO_JESUS_MARIA;PRECIO_PUBLICO_GENERAL;PRECIO_TOTAL;DEPARTAMENTO;PROVINCIA;DISTRITO;UBIGEO
20240430;cb118646ed6121cd0e65f0059e310cb04d7b2ae503150f92c0cbce5cec28ec6c;45585;5;MASCULINO;AJEDREZ;CASA DE LA JUVENTUD;MIERCOLES - VIERNES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;cbe6ec2bad7a36997cf87ab505c894d2cae737976f24247c07368179f353f19e;45585;35;FEMENINO;TIRO CON ARCO;CONCHA ACÚSTICA;SABADO - DOMINGO;9:00 AM - 11:00 AM / 11:00 AM - 1:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;cc0ff4f3131386a32d85be59ee67782d6c9f2b82c3b5cf0e680b029bcfdeacc6;23592;1;MASCULINO;ESTIMULACIÓN TEMPRANA;CASA DE LA JUVENTUD;SABADO;10:00 AM - 12:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;cc883cde3538a91d483fbfbfb9d0ccd07714505fabb0a3fe2a26f3bef71da3e2;42961;11;FEMENINO;BÁSQUET;CASA DE LA JUVENTUD;MARTES - JUEVES;5:00 PM - 6:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;ccb0802c1481d74f728fc7a3fc6b1ca6ab5374655fb3489443fc5df88a406c9c;23596;45;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - JUEVES;12:00 PM - 1:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;ccd707fe987f6e3ab4cfa7c9460b6d097c5f0d75d056bb39fa6e11ca0dbb0e9e;43050;16;FEMENINO;BÉISBOL;"CENTRO DEPORTIVO ""EL OLIVAR""";MARTES - JUEVES;5:00 PM - 6:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;cf5019553062fedb9b3d511f678d40602aeeb71e53b11661d6bd0612ca7bb784;41083;5;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MIERCOLES - SABADO;4:00 PM - 5:00 PM / 3:00 PM - 4:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;d01c271605aea09476e50a51ed8746e44889f6489e12e9acbb568d2718b79d93;43540;13;FEMENINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;JUEVES - SABADO;4:00 PM - 5:00 PM / 4:00 PM - 5:00 PM;202403;250;0;250;LIMA;LIMA;JESUS MARIA;150113
20240430;d2563f9342fcec7c3d0e1568f4fa32e48e4a8c87db7aa37a44028d029b0bfa59;42474;17;MASCULINO;NATACIÓN A PARTIR DE 6 AÑOS;PISCINA MUNICIPAL;MARTES - JUEVES;11:00 AM - 12:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;d35804a7c3efc65df6824c0382da4545c8c04e8bb8594a3ba83b57daa5d50485;41809;10;MASCULINO;BÁSQUET;CASA DE LA JUVENTUD;MARTES - JUEVES;4:00 PM - 5:00 PM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;d5d27f5c200eca6aa1f7f238a0445b7de41127cde6bd6610ba1689f7b4bb38c5;25568;4;MASCULINO;PRE ENGLISH;CASA DE LA JUVENTUD;SABADO;9:00 AM - 11:00 AM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;d5dfee69c0ce319a5c0506ddfbaf4dc0d2b89d19895c5680c34cab44d0af9d48;38881;3;MASCULINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;VIERNES - SABADO;3:00 PM - 4:00 PM / 12:00 PM - 1:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;d756b90290ba062cc863f8b558b19db6d02daff68bfd2573da5386d6cbc58947;43130;4;FEMENINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;MARTES - SABADO;4:00 PM - 5:00 PM / 2:00 PM - 3:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;d9a2c8d45c155c90ea430deb9aa132a7d876e5a14adcd8484fa64d0f4b29c3b3;42190;4;MASCULINO;BÉISBOL;"CENTRO DEPORTIVO ""EL OLIVAR""";MARTES - JUEVES;3:00 PM - 4:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
20240430;dab47eb02687acd5bf816740998fa0b2e58129de278fa4cb66f7cac59434ba38;40226;35;FEMENINO;YOGA;CASA DE LA JUVENTUD;LUNES - MIERCOLES;8:00 AM - 9:00 AM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;dab47eb02687acd5bf816740998fa0b2e58129de278fa4cb66f7cac59434ba38;41145;35;FEMENINO;ZUMBA;CASA DE LA JUVENTUD;MARTES - JUEVES;8:00 AM - 9:00 AM;202403;100;0;100;LIMA;LIMA;JESUS MARIA;150113
20240430;dabd47d4a3421402184aa9a4a8452952f8f599c97636c17ed68939ae261ad3f5;39780;4;FEMENINO;NATACIÓN PATERA 3 A 5 AÑOS;PISCINA MUNICIPAL;VIERNES - SABADO;3:00 PM - 4:00 PM / 12:00 PM - 1:00 PM;202403;150;0;150;LIMA;LIMA;JESUS MARIA;150113
